position,track name,artist,region,date,spotify_id
NA,NA,NA,us,2020-01-03,NA
NA,NA,NA,us,2020-01-03,NA
NA,NA,NA,us,2020-01-03,NA
NA,NA,NA,us,2020-01-03,NA
NA,NA,NA,us,2020-01-03,NA
NA,NA,NA,us,2020-01-03,NA
NA,NA,NA,us,2020-01-03,NA
NA,NA,NA,us,2020-01-03,NA
NA,NA,NA,us,2020-01-03,NA
NA,NA,NA,us,2020-01-03,NA
NA,NA,NA,us,2020-01-03,NA
NA,NA,NA,us,2020-01-03,NA
NA,NA,NA,us,2020-01-03,NA
NA,NA,NA,us,2020-01-03,NA
NA,NA,NA,us,2020-01-03,NA
NA,NA,NA,us,2020-01-03,NA
NA,NA,NA,us,2020-01-03,NA
NA,NA,NA,us,2020-01-03,NA
NA,NA,NA,us,2020-01-03,NA
NA,NA,NA,us,2020-01-03,NA
NA,NA,NA,us,2020-01-03,NA
NA,NA,NA,us,2020-01-03,NA
NA,NA,NA,us,2020-01-03,NA
NA,NA,NA,us,2020-01-03,NA
NA,NA,NA,us,2020-01-03,NA
NA,NA,NA,us,2020-01-03,NA
NA,NA,NA,us,2020-01-03,NA
NA,NA,NA,us,2020-01-03,NA
NA,NA,NA,us,2020-01-03,NA
NA,NA,NA,us,2020-01-03,NA
NA,NA,NA,us,2020-01-03,NA
NA,NA,NA,us,2020-01-03,NA
NA,NA,NA,us,2020-01-03,NA
NA,NA,NA,us,2020-01-03,NA
NA,NA,NA,us,2020-01-03,NA
NA,NA,NA,us,2020-01-03,NA
NA,NA,NA,us,2020-01-03,NA
NA,NA,NA,us,2020-01-03,NA
NA,NA,NA,us,2020-01-03,NA
NA,NA,NA,us,2020-01-03,NA
NA,NA,NA,global,2020-01-04,NA
NA,NA,NA,global,2020-01-04,NA
NA,NA,NA,global,2020-01-04,NA
NA,NA,NA,global,2020-01-04,NA
NA,NA,NA,global,2020-01-04,NA
NA,NA,NA,global,2020-01-04,NA
NA,NA,NA,global,2020-01-04,NA
NA,NA,NA,global,2020-01-04,NA
NA,NA,NA,global,2020-01-04,NA
NA,NA,NA,global,2020-01-04,NA
NA,NA,NA,global,2020-01-04,NA
NA,NA,NA,global,2020-01-04,NA
NA,NA,NA,global,2020-01-04,NA
NA,NA,NA,global,2020-01-04,NA
NA,NA,NA,global,2020-01-04,NA
NA,NA,NA,global,2020-01-04,NA
NA,NA,NA,global,2020-01-04,NA
NA,NA,NA,global,2020-01-04,NA
NA,NA,NA,global,2020-01-04,NA
NA,NA,NA,global,2020-01-04,NA
NA,NA,NA,global,2020-01-04,NA
NA,NA,NA,global,2020-01-04,NA
NA,NA,NA,global,2020-01-04,NA
NA,NA,NA,global,2020-01-04,NA
NA,NA,NA,global,2020-01-04,NA
NA,NA,NA,global,2020-01-04,NA
NA,NA,NA,global,2020-01-04,NA
NA,NA,NA,global,2020-01-04,NA
NA,NA,NA,global,2020-01-04,NA
NA,NA,NA,global,2020-01-04,NA
NA,NA,NA,global,2020-01-04,NA
NA,NA,NA,global,2020-01-04,NA
NA,NA,NA,global,2020-01-04,NA
NA,NA,NA,global,2020-01-04,NA
NA,NA,NA,global,2020-01-04,NA
NA,NA,NA,global,2020-01-04,NA
NA,NA,NA,global,2020-01-04,NA
NA,NA,NA,global,2020-01-04,NA
NA,NA,NA,global,2020-01-04,NA
NA,NA,NA,global,2020-01-04,NA
NA,NA,NA,global,2020-01-04,NA
NA,NA,NA,global,2020-01-04,NA
NA,NA,NA,global,2020-01-04,NA
NA,NA,NA,global,2020-01-04,NA
NA,NA,NA,global,2020-01-04,NA
NA,NA,NA,global,2020-01-04,NA
NA,NA,NA,global,2020-01-04,NA
NA,NA,NA,global,2020-01-04,NA
NA,NA,NA,global,2020-01-04,NA
NA,NA,NA,global,2020-01-04,NA
NA,NA,NA,us,2020-01-04,NA
NA,NA,NA,us,2020-01-04,NA
NA,NA,NA,us,2020-01-04,NA
NA,NA,NA,us,2020-01-04,NA
NA,NA,NA,us,2020-01-04,NA
NA,NA,NA,us,2020-01-04,NA
NA,NA,NA,us,2020-01-04,NA
NA,NA,NA,us,2020-01-04,NA
NA,NA,NA,us,2020-01-04,NA
NA,NA,NA,us,2020-01-04,NA
NA,NA,NA,us,2020-01-04,NA
NA,NA,NA,us,2020-01-04,NA
NA,NA,NA,us,2020-01-04,NA
NA,NA,NA,us,2020-01-04,NA
NA,NA,NA,us,2020-01-04,NA
NA,NA,NA,us,2020-01-04,NA
NA,NA,NA,us,2020-01-04,NA
NA,NA,NA,us,2020-01-04,NA
NA,NA,NA,us,2020-01-04,NA
NA,NA,NA,us,2020-01-04,NA
NA,NA,NA,us,2020-01-04,NA
NA,NA,NA,us,2020-01-04,NA
NA,NA,NA,us,2020-01-04,NA
NA,NA,NA,us,2020-01-04,NA
NA,NA,NA,us,2020-01-04,NA
NA,NA,NA,us,2020-01-04,NA
NA,NA,NA,us,2020-01-04,NA
NA,NA,NA,us,2020-01-04,NA
NA,NA,NA,us,2020-01-04,NA
NA,NA,NA,us,2020-01-04,NA
NA,NA,NA,us,2020-01-04,NA
NA,NA,NA,us,2020-01-04,NA
NA,NA,NA,us,2020-01-04,NA
NA,NA,NA,us,2020-01-04,NA
NA,NA,NA,us,2020-01-04,NA
NA,NA,NA,us,2020-01-04,NA
NA,NA,NA,us,2020-01-04,NA
NA,NA,NA,us,2020-01-04,NA
NA,NA,NA,us,2020-01-04,NA
NA,NA,NA,us,2020-01-04,NA
NA,NA,NA,us,2020-01-04,NA
NA,NA,NA,us,2020-01-04,NA
NA,NA,NA,us,2020-01-04,NA
NA,NA,NA,us,2020-01-04,NA
NA,NA,NA,us,2020-01-04,NA
NA,NA,NA,us,2020-01-04,NA
NA,NA,NA,us,2020-01-04,NA
NA,NA,NA,us,2020-01-04,NA
NA,NA,NA,us,2020-01-04,NA
NA,NA,NA,us,2020-01-04,NA
